YEAR_END,TEAM,GP,W,L,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Restricted_Area_FGM,Restricted_Area_FGA,Paint_FGM,Paint_FGA,Midrange_FGM,Midrange_FGA,Left_corner_FGM,Left_corner_FGA,Right_corner_FGM,Right_corner_FGA,Corner_FGM,Corner_FGA,Above_break_FGM,Above_break_FGA
2022,Atlanta Hawks,78,41,37,3749,8878,3228,6880,997,2673,1425,1755,780,2651,3431,1914,931,558,339,353,1457,1601,111,1244,1940,546,1255,442,1015,132,290,127,334,259,624,736,2032
2022,Boston Celtics,79,49,30,3837,8787,3201,6893,1029,2909,1356,1659,833,2803,3636,1943,1074,567,466,361,1468,1535,551,1320,1899,513,1230,340,860,127,371,153,338,280,709,748,2185
2022,Brooklyn Nets,78,40,38,3759,8778,3267,6899,891,2470,1353,1690,798,2646,3444,1961,1090,559,419,385,1585,1534,20,1227,1953,562,1233,587,1246,121,313,118,289,239,602,652,1858
2022,Charlotte Hornets,78,40,38,3784,8957,3315,7145,1082,2985,1245,1684,852,2630,3482,2171,1029,677,376,368,1553,1540,6,1543,2407,438,1140,254,619,180,486,145,395,325,881,755,2079
2022,Chicago Bulls,78,45,33,3754,8711,3257,6784,833,2263,1364,1677,669,2641,3310,1870,986,554,326,383,1463,1408,24,1284,1963,499,1093,643,1472,133,335,132,304,265,639,565,1599
2022,Cleveland Cavaliers,79,43,36,3802,8484,3122,6678,910,2585,1330,1747,808,2689,3497,1981,1148,565,330,362,1376,1585,172,1419,2137,483,1199,312,761,118,334,99,297,217,631,690,1941
2022,Dallas Mavericks,79,49,30,3807,8469,3089,6738,1018,2949,1273,1651,732,2661,3393,1831,984,530,316,290,1553,1584,193,1136,1638,552,1233,385,926,161,418,146,379,307,797,709,2131
2022,Denver Nuggets,79,47,32,3812,8883,3282,6801,1005,2834,1314,1652,723,2755,3478,2197,1145,571,294,380,1564,1573,200,1401,2027,536,1133,340,807,175,422,123,354,298,776,707,2036
2022,Detroit Pistons,79,23,56,3812,8276,3021,7012,893,2726,1341,1719,865,2533,3398,1845,1118,613,379,419,1740,1558,-573,1341,2211,464,1198,323,876,160,442,120,330,280,772,613,1936
2022,Golden State Warriors,79,50,29,3802,8746,3190,6828,1133,3134,1233,1609,771,2822,3593,2128,1177,696,364,310,1660,1420,411,1279,1820,480,1100,303,785,141,398,100,313,241,711,886,2388
2022,Houston Rockets,79,20,59,3807,8663,3105,6814,1067,3052,1386,1941,755,2568,3323,1866,1313,582,369,457,1634,1752,-664,1562,2449,361,954,115,362,115,327,81,233,196,560,871,2472
2022,Indiana Pacers,79,25,54,3832,8772,3265,7061,956,2790,1286,1678,891,2596,3487,1992,1143,550,440,389,1612,1521,-255,1465,2265,496,1129,349,877,158,394,114,321,272,715,683,2050
2022,LA Clippers,79,39,40,3812,8522,3156,6912,996,2690,1214,1533,716,2731,3447,1886,1083,590,386,333,1478,1457,-71,1141,1756,578,1304,441,1163,124,299,128,317,252,616,744,2058
2022,Los Angeles Lakers,78,31,47,3799,8704,3254,6934,939,2691,1257,1730,747,2678,3425,1883,1133,599,408,319,1586,1539,-247,1594,2389,323,855,399,1004,128,334,128,328,256,662,682,2019
2022,Memphis Grizzlies,78,55,23,3759,9005,3398,7357,888,2538,1321,1800,1107,2747,3854,2007,1027,762,508,481,1530,1540,487,1473,2291,785,1875,251,659,136,360,90,259,226,619,663,1901
2022,Miami Heat,79,51,28,3827,8654,3118,6704,1061,2818,1357,1680,785,2679,3464,2021,1152,582,259,324,1630,1629,346,1185,1806,516,1166,358,917,194,477,175,409,369,886,690,1907
2022,Milwaukee Bucks,78,48,30,3759,8970,3245,6958,1104,3011,1376,1780,800,2843,3643,1845,1055,588,310,341,1422,1528,236,1263,1869,465,1105,414,977,158,379,135,366,293,745,810,2253
2022,Minnesota Timberwolves,79,45,34,3812,9146,3283,7180,1166,3261,1414,1816,893,2611,3504,2024,1141,700,446,385,1718,1646,232,1417,2190,464,1113,241,635,177,433,124,333,301,766,860,2459
2022,New Orleans Pelicans,78,34,44,3759,8491,3122,6841,828,2497,1419,1799,917,2626,3543,1943,1100,632,322,373,1539,1595,-80,1337,2100,539,1235,422,1018,136,340,95,286,231,626,591,1844
2022,New York Knicks,79,35,44,3812,8414,2975,6811,1038,2909,1426,1912,911,2739,3650,1712,1049,547,384,366,1617,1609,-31,1225,1978,417,1091,300,840,142,364,106,289,248,653,785,2243
2022,Oklahoma City Thunder,78,23,55,3769,8118,2988,6953,951,2937,1191,1565,809,2769,3578,1742,1094,590,362,462,1423,1403,-563,1126,1870,693,1589,219,560,119,364,95,261,214,625,736,2300
2022,Orlando Magic,79,20,59,3812,8201,3009,6962,945,2880,1238,1572,724,2773,3497,1856,1154,536,352,411,1555,1460,-648,1270,2006,530,1314,266,771,149,368,87,255,236,623,707,2234
2022,Philadelphia 76ers,78,48,30,3769,8519,3050,6592,891,2473,1528,1862,665,2648,3313,1823,968,591,420,355,1511,1521,185,1209,1845,527,1263,427,1029,111,285,128,345,239,630,648,1814
2022,Phoenix Suns,78,62,16,3754,8966,3401,6984,900,2463,1264,1584,743,2768,3511,2123,1010,665,343,304,1535,1486,609,1080,1573,857,1687,567,1265,113,306,151,379,264,685,633,1763
2022,Portland Trail Blazers,78,27,51,3754,8365,3028,6826,1005,2888,1304,1718,831,2556,3387,1787,1115,617,346,385,1632,1530,-610,1265,2105,449,1071,313,768,118,325,118,307,236,632,765,2239
2022,Sacramento Kings,79,29,50,3817,8722,3204,6985,905,2638,1409,1832,772,2633,3405,1865,1113,563,357,383,1498,1598,-422,1334,2040,608,1463,358,847,122,334,114,274,236,608,667,2014
2022,San Antonio Spurs,78,33,45,3769,8828,3384,7254,882,2510,1178,1565,877,2670,3547,2182,1000,595,389,395,1406,1467,13,1332,2084,754,1650,420,1018,112,321,113,286,225,607,652,1882
2022,Toronto Raptors,78,45,33,3779,8522,3163,7109,936,2669,1260,1666,1041,2492,3533,1720,978,701,362,401,1541,1487,182,1205,1915,618,1477,409,1061,134,337,136,338,270,675,659,1966
2022,Utah Jazz,78,46,32,3749,8842,3166,6717,1145,3160,1365,1770,825,2755,3580,1741,1090,557,374,333,1479,1561,428,1220,1773,638,1379,167,411,132,361,174,445,306,806,834,2334
2022,Washington Wizards,78,34,44,3774,8472,3152,6706,820,2396,1348,1710,703,2656,3359,1942,1020,497,390,328,1468,1566,-242,1335,1913,572,1408,426,991,137,334,108,285,245,619,574,1766
2021,Atlanta Hawks,72,41,31,3481,8186,2937,6281,895,2402,1417,1745,760,2525,3285,1737,953,503,342,363,1392,1422,167,1164,1850,557,1286,321,745,102,234,108,299,210,533,685,1859
2021,Boston Celtics,72,36,36,3476,8109,2985,6401,979,2618,1160,1496,765,2421,3186,1689,1012,556,383,334,1471,1389,105,1157,1739,508,1202,341,841,119,293,89,238,208,531,771,2072
2021,Brooklyn Nets,72,48,24,3481,8537,3106,6289,1020,2600,1305,1623,640,2559,3199,1929,975,484,379,330,1371,1361,324,1274,1934,497,1075,315,681,106,250,135,339,241,589,779,2001
2021,Charlotte Hornets,72,33,39,3471,7881,2875,6324,985,2666,1146,1505,762,2389,3151,1933,1069,565,344,347,1298,1340,-139,1252,2078,402,961,236,619,134,339,123,283,257,622,728,2033
2021,Chicago Bulls,72,31,41,3476,7969,3035,6380,904,2446,995,1258,693,2544,3237,1927,1089,482,304,364,1362,1277,-64,1296,2003,482,1089,353,844,151,344,99,248,250,592,653,1840
2021,Cleveland Cavaliers,72,22,50,3486,7476,2778,6175,720,2141,1200,1614,751,2327,3078,1716,1114,559,325,425,1308,1451,-608,1304,2153,532,1282,223,599,95,266,86,226,181,492,538,1645
