manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ADX,R8,5.2,2012,10,Automatic (AM6),All-Wheel Drive,13,19,Premium,Two Seaters
ADX,R8,5.2,2012,10,Manual 6-spd,All-Wheel Drive,12,19,Premium,Two Seaters
ADX,R8 Spyder,5.2,2012,10,Automatic (AM6),All-Wheel Drive,13,19,Premium,Two Seaters
ADX,R8 Spyder,5.2,2012,10,Manual 6-spd,All-Wheel Drive,12,19,Premium,Two Seaters
BEX,Continental Supersports,6,2012,12,Automatic (S6),All-Wheel Drive,12,19,Premium or E85,Two Seaters
NLX,Aventador Coupe,6.5,2012,12,Automatic (S7),All-Wheel Drive,11,17,Premium,Two Seaters
TYX,LFA,4.8,2012,10,Automatic (S6),Rear-Wheel Drive,11,16,Premium,Two Seaters
PRX,911 Speedster,3.8,2012,6,Automatic 7-spd,Rear-Wheel Drive,19,26,Premium,Two Seaters
PRX,Boxster,2.9,2012,6,Automatic 7-spd,Rear-Wheel Drive,20,29,Premium,Two Seaters
PRX,Boxster,2.9,2012,6,Manual 6-spd,Rear-Wheel Drive,19,26,Premium,Two Seaters
PRX,Boxster S,3.4,2012,6,Automatic 7-spd,Rear-Wheel Drive,20,29,Premium,Two Seaters
PRX,Boxster S,3.4,2012,6,Manual 6-spd,Rear-Wheel Drive,19,26,Premium,Two Seaters
PRX,Boxster Spyder,3.4,2012,6,Automatic 7-spd,Rear-Wheel Drive,20,29,Premium,Two Seaters
PRX,Boxster Spyder,3.4,2012,6,Manual 6-spd,Rear-Wheel Drive,19,26,Premium,Two Seaters
PRX,Cayman,2.9,2012,6,Automatic 7-spd,Rear-Wheel Drive,20,29,Premium,Two Seaters
PRX,Cayman,2.9,2012,6,Manual 6-spd,Rear-Wheel Drive,19,26,Premium,Two Seaters
PRX,Cayman R,3.4,2012,6,Automatic 7-spd,Rear-Wheel Drive,20,29,Premium,Two Seaters
PRX,Cayman R,3.4,2012,6,Manual 6-spd,Rear-Wheel Drive,19,26,Premium,Two Seaters
PRX,Cayman S,3.4,2012,6,Automatic 7-spd,Rear-Wheel Drive,20,29,Premium,Two Seaters
PRX,Cayman S,3.4,2012,6,Manual 6-spd,Rear-Wheel Drive,19,26,Premium,Two Seaters
ASX,DB9,5.9,2012,12,Automatic (S6),Rear-Wheel Drive,13,20,Premium,Minicompact Cars
ASX,DB9,5.9,2012,12,Manual 6-spd,Rear-Wheel Drive,11,17,Premium,Minicompact Cars
ASX,DBS,5.9,2012,12,Automatic (S6),Rear-Wheel Drive,12,18,Premium,Minicompact Cars
ASX,DBS,5.9,2012,12,Manual 6-spd,Rear-Wheel Drive,11,17,Premium,Minicompact Cars
ASX,Virage,5.9,2012,12,Automatic (S6),Rear-Wheel Drive,13,18,Premium,Minicompact Cars
CRX,500,1.4,2012,4,Automatic 6-spd,Front-Wheel Drive,27,33,Premium,Minicompact Cars
CRX,500,1.4,2012,4,Manual 5-spd,Front-Wheel Drive,30,37,Premium,Minicompact Cars
CRX,500 Cabrio,1.4,2012,4,Automatic 6-spd,Front-Wheel Drive,27,32,Premium,Minicompact Cars
DSX,Eclipse Spyder,2.4,2012,4,Automatic (S4),Front-Wheel Drive,20,27,Regular,Minicompact Cars
DSX,Eclipse Spyder,3.8,2012,6,Automatic (S5),Front-Wheel Drive,16,24,Premium,Minicompact Cars
PRX,911 Carrera,3.6,2012,6,Automatic 7-spd,Rear-Wheel Drive,19,27,Premium,Minicompact Cars
PRX,911 Carrera,3.6,2012,6,Manual 6-spd,Rear-Wheel Drive,18,25,Premium,Minicompact Cars
PRX,911 Carrera 4,3.6,2012,6,Automatic 7-spd,4-Wheel Drive,18,26,Premium,Minicompact Cars
PRX,911 Carrera 4,3.6,2012,6,Manual 6-spd,4-Wheel Drive,18,24,Premium,Minicompact Cars
PRX,911 Carrera 4 Cabriolet,3.6,2012,6,Automatic 7-spd,4-Wheel Drive,18,26,Premium,Minicompact Cars
PRX,911 Carrera 4 Cabriolet,3.6,2012,6,Manual 6-spd,4-Wheel Drive,18,25,Premium,Minicompact Cars
PRX,911 Carrera 4 Targa,3.6,2012,6,Automatic 7-spd,4-Wheel Drive,18,26,Premium,Minicompact Cars
PRX,911 Carrera 4 Targa,3.6,2012,6,Manual 6-spd,4-Wheel Drive,18,25,Premium,Minicompact Cars
PRX,911 Carrera 4S,3.8,2012,6,Automatic 7-spd,4-Wheel Drive,18,26,Premium,Minicompact Cars
PRX,911 Carrera 4S,3.8,2012,6,Manual 6-spd,4-Wheel Drive,18,25,Premium,Minicompact Cars
PRX,911 Carrera 4S Cabriolet,3.8,2012,6,Automatic 7-spd,4-Wheel Drive,19,26,Premium,Minicompact Cars
PRX,911 Carrera 4S Cabriolet,3.8,2012,6,Manual 6-spd,4-Wheel Drive,18,24,Premium,Minicompact Cars
PRX,911 Carrera 4S Targa,3.8,2012,6,Automatic 7-spd,4-Wheel Drive,19,26,Premium,Minicompact Cars
PRX,911 Carrera 4S Targa,3.8,2012,6,Manual 6-spd,4-Wheel Drive,18,24,Premium,Minicompact Cars
PRX,911 Carrera Cabriolet,3.6,2012,6,Automatic 7-spd,Rear-Wheel Drive,19,26,Premium,Minicompact Cars
PRX,911 Carrera Cabriolet,3.6,2012,6,Manual 6-spd,Rear-Wheel Drive,18,25,Premium,Minicompact Cars
PRX,911 Carrera S,3.8,2012,6,Automatic 7-spd,Rear-Wheel Drive,19,26,Premium,Minicompact Cars
PRX,911 Carrera S,3.8,2012,6,Manual 6-spd,Rear-Wheel Drive,18,25,Premium,Minicompact Cars
PRX,911 Carrera S Cabriolet,3.8,2012,6,Automatic 7-spd,Rear-Wheel Drive,19,26,Premium,Minicompact Cars
PRX,911 Carrera S Cabriolet,3.8,2012,6,Manual 6-spd,Rear-Wheel Drive,18,26,Premium,Minicompact Cars
PRX,911 GTS,3.8,2012,6,Automatic 7-spd,Rear-Wheel Drive,19,26,Premium,Minicompact Cars
PRX,911 GTS,3.8,2012,6,Manual 6-spd,Rear-Wheel Drive,18,25,Premium,Minicompact Cars
PRX,911 GTS Cabriolet,3.8,2012,6,Automatic 7-spd,Rear-Wheel Drive,19,26,Premium,Minicompact Cars
PRX,911 GTS Cabriolet,3.8,2012,6,Manual 6-spd,Rear-Wheel Drive,18,26,Premium,Minicompact Cars
PRX,911 Turbo Cabriolet,3.8,2012,6,Automatic 7-spd,Rear-Wheel Drive,16,24,Premium,Minicompact Cars
PRX,911 Turbo Cabriolet,3.8,2012,6,Manual 6-spd,Rear-Wheel Drive,16,24,Premium,Minicompact Cars
PRX,911 Turbo Coupe,3.8,2012,6,Automatic 7-spd,Rear-Wheel Drive,17,24,Premium,Minicompact Cars
PRX,911 Turbo Coupe,3.8,2012,6,Manual 6-spd,Rear-Wheel Drive,16,24,Premium,Minicompact Cars
PRX,911 Turbo S Cabriolet,3.8,2012,6,Automatic 7-spd,Rear-Wheel Drive,16,24,Premium,Minicompact Cars
PRX,911 Turbo S Coupe,3.8,2012,6,Automatic 7-spd,Rear-Wheel Drive,17,24,Premium,Minicompact Cars
ASX,Rapide,5.9,2012,12,Automatic (S6),Rear-Wheel Drive,13,19,Premium,Subcompact Cars
ADX,A5 Cabriolet,2,2012,4,Automatic (variable gear ratios),Front-Wheel Drive,22,30,Premium,Subcompact Cars
ADX,A5 Cabriolet quattro,2,2012,4,Automatic (S8),All-Wheel Drive,21,29,Premium,Subcompact Cars
ADX,A5 quattro,2,2012,4,Automatic (S8),All-Wheel Drive,21,29,Premium,Subcompact Cars
ADX,A5 quattro,2,2012,4,Manual 6-spd,All-Wheel Drive,21,31,Premium,Subcompact Cars
ADX,S5,4.2,2012,8,Automatic (S6),All-Wheel Drive,16,24,Premium,Subcompact Cars
ADX,S5,4.2,2012,8,Manual 6-spd,All-Wheel Drive,14,22,Premium,Subcompact Cars
ADX,S5 Cabriolet,3,2012,6,Automatic (S7),All-Wheel Drive,17,26,Premium,Subcompact Cars
BEX,Continental Supersports Convertible,6,2012,12,Automatic (S6),All-Wheel Drive,12,19,Premium or E85,Subcompact Cars
BMX,128ci Convertible,3,2012,6,Automatic (S6),Rear-Wheel Drive,18,26,Premium,Subcompact Cars
BMX,128ci Convertible,3,2012,6,Manual 6-spd,Rear-Wheel Drive,18,27,Premium,Subcompact Cars
