Year,W,L,Off_PtsScoredRnk,Def_PtsAllowedRnk
2023,11,6,6,4
2022,13,3,2,2
2021,11,6,3,1
2020,13,3,2,16
2019,10,6,23,2
2018,6,10,30,18
2017,9,7,22,18
2016,7,9,10,16
2015,8,8,12,15
2014,9,7,18,4
2013,6,10,22,20
2012,6,10,21,26
2011,6,10,14,30
2010,4,12,28,28
2009,6,10,28,16
2008,7,9,23,14
2007,7,9,30,18
2006,7,9,23,10
2005,5,11,24,24
2004,9,7,7,8
2003,6,10,30,5
2002,8,8,11,27
2001,3,13,27,29
2000,8,8,20,18
1999,11,5,16,2
1998,10,6,7,15
1997,6,10,29,23
1996,10,6,15,6
1995,10,6,13,12
1994,7,9,11,22
1993,12,4,7,5
1992,11,5,3,14
1991,13,3,2,19
1990,13,3,1,6
1989,9,7,3,14
1988,12,4,14,3
1987,7,8,24,12
1986,4,12,20,20
1985,2,14,28,20
1984,2,14,25,27
1983,8,8,23,18
1982,4,5,19,6
1981,10,6,20,6
1980,11,5,12,3
1979,7,9,23,8
1978,5,11,11,24
1977,3,11,26,25
1976,2,12,20,24
1975,8,6,1,21
1974,9,5,12,12
1973,9,5,15,10
